Label,Avg. Precision,"Precision, fold 1","Precision, fold 0","Precision, fold 2","Precision, fold 3","Precision, fold 4",Avg. Recall,"Recall, fold 1","Recall, fold 0","Recall, fold 2","Recall, fold 3","Recall, fold 4",Avg. F-score,"F-score, fold 1","F-score, fold 0","F-score, fold 2","F-score, fold 3","F-score, fold 4"
EF,0.6617842838726249,0.651685393258427,0.6785714285714286,0.640625,0.7051282051282052,0.6329113924050633,0.6158275650455226,0.6987951807228916,0.6951219512195121,0.5256410256410257,0.5913978494623656,0.5681818181818182,0.6361415260692229,0.6744186046511629,0.6867469879518072,0.5774647887323944,0.6432748538011697,0.5988023952095809
INF,0.6589169301935259,0.6851851851851852,0.5833333333333334,0.7446808510638298,0.5909090909090909,0.6904761904761905,0.5563669362734268,0.6065573770491803,0.5714285714285714,0.546875,0.5098039215686274,0.5471698113207547,0.6018646431942335,0.6434782608695653,0.577319587628866,0.6306306306306305,0.5473684210526317,0.6105263157894737
ADR,0.6713492094450513,0.6896551724137931,0.71875,0.6470588235294118,0.717948717948718,0.5833333333333334,0.6068383071703755,0.625,0.5227272727272727,0.6666666666666666,0.6021505376344086,0.6176470588235294,0.6345376081914271,0.6557377049180328,0.6052631578947368,0.6567164179104478,0.6549707602339182,0.6
DI,0.7924770300692654,0.8407960199004975,0.7752808988764045,0.8308457711442786,0.7711442786069652,0.7443181818181818,0.7998768079018003,0.8492462311557789,0.8023255813953488,0.8146341463414634,0.8288770053475936,0.7043010752688172,0.7957915010671786,0.845,0.7885714285714286,0.8226600985221675,0.7989690721649484,0.723756906077348
Finding,0.2528921012849584,0.1836734693877551,0.34375,0.25925925925925924,0.2,0.2777777777777778,0.24681159420289855,0.3333333333333333,0.25,0.23333333333333334,0.2,0.21739130434782608,0.24316645271715878,0.23684210526315788,0.2894736842105263,0.2456140350877193,0.20000000000000004,0.24390243902439024
